Sample #	EMG_A01	EMG_A04
4499	0.046997	0.040894
4500	0.054169	0.024719
4501	0.043335	0.039825
4502	-0.005188	0.012054
4503	0.043793	0.109558
4504	0.049286	0.071564
4505	0.032654	-0.010681
4506	0.010071	0.041504
4507	0.02121	0.058441
4508	0.008087	0.018768
4509	-0.007477	-0.027313
4510	0.01358	-0.00946
4511	0.012512	0.002594
4512	0.018158	0.020599
4513	0.027618	0.071716
4514	-0.002747	0.118103
4515	-0.005493	0.099182
4516	0.01709	0.032806
4517	0.02533	0.014496
4518	0.04776	-0.021973
4519	0.019836	0.005188
4520	-0.000458	-0.017395
4521	0.030975	0.010071
4522	0.059967	0.140991
4523	0.020447	0.088043
4524	0.067139	0.093384
4525	0.057831	0.153656
4526	0.035553	0.098114
4527	0.023499	0.072784
4528	0.000916	0.027771
4529	0.019226	-0.023193
4530	0.00351	-0.081177
4531	0.033875	-0.039825
4532	0.065308	-0.058746
4533	0.025024	-0.084534
4534	0.079041	-0.019531
4535	-0.000458	-0.040588
4536	0.025787	-0.027161
4537	-0.006561	-0.006409
4538	-0.024414	0.078125
4539	0.010376	0.004578
4540	0.019989	0.011292
4541	0.00412	0.026093
4542	0.019989	0.033875
4543	-0.002441	0.092621
4544	0.010223	0.076447
4545	-0.064087	0.065613
4546	-0.02121	0.131073
4547	0.020447	0.179443
4548	0.039825	0.099182
4549	0.077515	-0.023804
4550	0.057678	0.005646
4551	0.061646	0.055695
4552	0.037079	0.034943
4553	0.099335	0.06897
4554	0.054932	0.024414
4555	0.053406	0.06134
4556	0.036316	0.008392
4557	0.03418	0.005493
4558	0.029449	0.03067
4559	0.067444	0.013275
4560	-0.007629	0.028687
4561	-0.018768	0.078583
4562	-0.010986	0.133667
4563	0.011292	0.012665
4564	0.034943	0.066376
4565	0.034332	0.031891
4566	0.019531	0.016632
4567	0.029755	-0.005493
4568	0.049133	-0.040283
4569	0.024872	-0.03891
4570	0.015717	-0.097504
4571	0.000763	-0.056305
4572	0.022125	-0.032806
4573	0.048523	-0.028076
4574	0.018768	0.050659
4575	0.018768	0.029907
4576	0.009308	0.06897
4577	0.035248	0.129395
4578	-0.000305	0.119019
4579	-0.016174	0.036469
4580	0.028381	0.096893
4581	-0.000458	0.081787
4582	0.040131	0.08667
4583	0.012512	0.045624
4584	0.040283	0.011444
4585	0.011292	-0.032806
4586	0.043182	0.011749
4587	0.017548	0.038147
4588	0.023499	-0.01297
4589	0.052185	-0.052948
4590	0.046692	-0.027161
4591	0.04776	-0.058899
4592	0.029755	0.041656
4593	0.035248	0.072174
4594	0.060577	0.016632
4595	0.03418	-0.021362
4596	-0.002136	-0.100861
4597	0.016479	0.007477
4598	0.046997	0.04715
4599	0.05188	0.102692
4600	0.052643	0.02533
4601	-0.000458	0.046539
4602	0.033875	0.042725
4603	0.03891	0.001678
4604	0.04303	-0.007477
4605	0.057678	-0.046692
4606	0.064697	-0.074158
4607	0.014191	-0.038452
4608	-0.003662	0.051422
4609	0.003052	0.123749
4610	-0.002441	0.070648
4611	-0.002136	0.070038
4612	0.018768	0.070953
4613	0.052185	0.106964
4614	0.019379	0.183716
4615	0.046692	0.147552
4616	0.019531	0.153961
4617	0.019684	0.101776
4618	0.014496	0.115814
4619	-0.025482	0.080566
4620	0.004578	0.100555
4621	0.044403	0.083008
4622	0.02655	0.107727
4623	0.017548	0.028839
4624	-0.01709	0.017548
4625	0.023499	-0.036469
4626	0.002899	-0.07019
4627	-0.001526	-0.028687
4628	0.009613	-0.018311
4629	0.023499	0.019989
4630	0.023499	0.123596
4631	0.102386	0.072937
4632	0.05722	0.009308
4633	0.068665	-0.053864
4634	0.048676	-0.057983
4635	0.026855	-0.017395
